result,play,increment_code,rating_adv,ECO,opening_ply,first_move,second_move,third_move,fourth_move,fifth_move,sixth_move,seventh_move,eighth_move,ninth_move,tenth_move
Normal,Classical,900+3,42,B06,"Pterodactyl Defense: Sicilian,Anhanguera",e4,g6,d4,Bg7,Nc3,c5,Nf3,Qa5,Be3,Nf6
Normal,Blitz,180+0,42,C00,Queen's Pawn Game: Franco-Sicilian Defense,e4,e6,d4,c5,c3,cxd4,cxd4,Nc6,Nc3,d5
Normal,Blitz,180+0,42,C01,French Defense: Exchange Variation,e4,e6,d4,d5,exd5,exd5,Nf3,Nc6,Be2,Bg4
Normal,Blitz,300+0,42,B12,"Caro-Kann Defense: Advance Variation,Short Variation",e4,c6,d4,d5,e5,Bf5,Nf3,e6,Bg5,Qb6
Normal,Blitz,300+1,42,B12,Caro-Kann Defense: Advance Variation,e4,c6,d4,d5,e5,Bf5,c4,e6,c5,b6
Normal,Blitz,180+0,42,B15,Caro-Kann Defense: Tartakower Variation,e4,c6,d4,d5,Nc3,dxe4,Nxe4,Nf6,Nxf6,exf6
Normal,Blitz,180+0,42,B16,Caro-Kann Defense: Bronstein-Larsen Variation,e4,c6,d4,d5,Nc3,dxe4,Nxe4,Nf6,Nxf6,gxf6
Normal,Blitz,180+0,42,C05,"French Defense: Tarrasch Variation,Closed Variation",e4,e6,d4,d5,Nd2,Nf6,e5,Ng8,Bd3,a6
Normal,Classical,600+0,42,B12,Caro-Kann Defense #2,e4,c6,d4,d5,Bd2,dxe4,c3,Bf5,Ne2,Nf6
Normal,Classical,900+0,42,C00,Rat Defense: Small Center Defense,e4,e6,d4,d6,Nc3,a6,Bd3,h6,Nf3,Nd7
Normal,Blitz,300+2,42,A03,Bird Opening: Dutch Variation,f4,d5,d4,Nc6,Nf3,Nf6,e3,e6,c3,Bd7
Normal,Blitz,180+0,42,D17,"Slav Defense: Czech Variation,Krause Attack",Nf3,d5,d4,Nf6,c4,c6,Nc3,dxc4,a4,Bf5
Normal,Blitz,180+0,42,B00,"Nimzowitsch Defense: Scandinavian Variation,Bogoljubov Variation,Vehre Variation",e4,Nc6,d4,Nf6,Nc3,d5,e5,Ne4,f3,Nxc3
Normal,Blitz,300+0,42,A43,Old Benoni Defense,d4,c5,e3,cxd4,exd4,d5,f4,Nc6,Nf3,Bf5
Normal,Blitz,180+0,42,B07,Czech Defense,Nc3,d6,e4,c6,d4,Nf6,f3,Qc7,Be3,b5
Normal,Blitz,180+0,42,C31,"King's Gambit,Falkbeer Countergambit,Charousek Gambit",e4,e5,f4,d5,exd5,e4,d3,Nf6,Nc3,Bb4
Normal,Blitz,180+0,42,B21,Sicilian Defense: McDonnell Attack,e4,c5,f4,d6,Nf3,Nc6,Bc4,e6,d3,Nf6
Normal,Blitz,180+0,42,B21,Sicilian Defense: McDonnell Attack,e4,c5,f4,Nc6,Nf3,e6,Bc4,d5,exd5,exd5
Normal,Blitz,180+0,42,A08,King's Indian Attack: French Variation,Nf3,d5,g3,c5,Bg2,Nc6,d4,cxd4,Nxd4,e6
Normal,Blitz,180+0,42,A20,English Opening: King's English Variation,c4,e5,g3,Nc6,Bg2,f5,Nc3,Nf6,e3,d5
Normal,Blitz,300+2,42,A22,"English Opening: King's English Variation,Two Knights Variation,Smyslov System",c4,Nf6,Nc3,e5,g3,Bb4,Bg2,c6,Nf3,d6
Normal,Blitz,300+0,42,A22,English Opening: Carls-Bremen System,c4,Nf6,Nc3,e5,g3,Bc5,Bg2,O-O,e3,Nc6
Normal,Blitz,180+0,42,C41,Philidor Defense: Lion Variation,e4,d6,Nc3,e5,d4,Nd7,Nf3,Ngf6,Bb5,c6
Normal,Blitz,180+0,42,B23,Sicilian Defense: Closed,e4,c5,Nc3,e6,f4,Nc6,Bb5,Nd4,Bc4,a6
Normal,Classical,600+0,42,B07,Pirc Defense #4,e4,d6,Nc3,Nd7,Nf3,g6,Bc4,Bg7,d3,Ngf6
Normal,Blitz,300+0,42,B00,Owen Defense,e4,b6,Nf3,Bb7,Nc3,e6,d4,Bb4,Bd3,Nf6
Normal,Blitz,180+0,42,A46,Indian Game: Spielmann-Indian,d4,Nf6,Nf3,c5,c3,d5,Bf4,Nc6,e3,Bg4
Normal,Classical,300+5,42,A31,"English Opening: Symmetrical Variation,Anti-Benoni Variation",d4,Nf6,Nf3,c5,c4,cxd4,Nxd4,g6,Nc3,Bg7
Normal,Blitz,180+0,42,D21,Queen's Gambit Accepted: Rosenthal Variation,d4,e6,Nf3,d5,c4,dxc4,Nc3,Nd7,e4,Ngf6
Normal,Classical,300+8,42,B10,Caro-Kann Defense,e4,c6,Nf3,d5,e5,Bg4,d4,e6,Bd3,c5
Normal,Blitz,180+2,42,B80,"Sicilian Defense: Scheveningen Variation,English Attack #2",e4,c5,Nf3,d6,d4,cxd4,Nxd4,Nf6,Nc3,a6
Normal,Blitz,180+0,42,B90,"Sicilian Defense: Najdorf Variation,English Attack",e4,c5,Nf3,d6,d4,cxd4,Nxd4,Nf6,Nc3,a6
Normal,Blitz,180+0,42,B42,"Sicilian Defense: Kan Variation,Modern Variation",e4,c5,Nf3,e6,d4,cxd4,Nxd4,a6,Bd3,Nf6
Normal,Blitz,180+0,42,A46,Torre Attack,d4,Nf6,Nf3,e6,Bg5,d5,e3,c6,Be2,Nbd7
Normal,Classical,600+0,42,A46,Torre Attack #2,d4,Nf6,Nf3,e6,g3,d5,Bg2,Nc6,O-O,Be7
Normal,Blitz,180+2,42,D78,"Neo-Gruenfeld Defense: Classical Variation,Modern Defense",d4,Nf6,Nf3,g6,g3,Bg7,Bg2,O-O,O-O,d5
Normal,Blitz,180+0,42,C62,Ruy Lopez: Steinitz Defense,e4,e5,Nf3,Nc6,Bb5,d6,d4,exd4,Nxd4,Bd7
Normal,Blitz,180+0,42,C50,Italian Game: Schilling-Kostic Gambit,e4,e5,Nf3,Nc6,Bc4,Nd4,c3,Nxf3,Qxf3,Nf6
Normal,Blitz,180+2,42,C54,"Italian Game: Classical Variation,Greco Gambit,Traditional Line",e4,e5,Nf3,Nc6,d4,exd4,Bc4,Bc5,c3,Nf6
Normal,Blitz,300+0,42,B32,Sicilian Defense: Loewenthal Variation,e4,c5,Nf3,Nc6,d4,cxd4,Nxd4,e5,Nb5,a6
